"Species" "Area" "Mean" "StdDev" "Mode" "Perim" "Width" "Height" "Major" "Minor" "Angle" "Circ" "Feret" "IntDen" "Median" "Skew" "Kurt"
"1127" "Rhyacophilanubila" 123905 56.06 24.612 43 4118.357 373 828 685.916 230 91.17 0.092 834.961 6946088 51 0.773 -0.046
"1128" "Rhyacophilanubila" 122594 59.462 24.916 40 4041.036 743 508 644.543 242.174 148.873 0.094 776.779 7289674 55 0.603 -0.361
"1129" "Rhyacophilanubila" 122494 52.12 26.59 35 4726.444 535 783 617.475 252.584 112.03 0.069 816.128 6384422 44 0.832 -0.156
"1130" "Rhyacophilanubila" 122161 53.048 26.305 35 4799.165 406 825 614.698 253.035 82.633 0.067 831.529 6480384 45 0.85 -0.14
"1131" "Rhyacophilanubila" 120497 52.994 25.845 38 4656.898 401 795 612.577 250.453 80.429 0.07 808.115 6385594 45 0.878 -0.063
"1132" "Rhyacophilanubila" 105308 48.918 26.11 41 3241.75 663 423 511.65 262.059 0.787 0.126 664.624 5151425 46 0.661 0.295
"1133" "Rhyacophilanubila" 104386 47.144 26.93 0 3324.093 653 418 509.969 260.62 173.425 0.119 655.483 4921155 45 0.595 0.327
"1134" "Rhyacophilanubila" 102914 48.099 25.057 39 3516.779 590 543 510.985 256.434 37.369 0.105 661.25 4950090 41 1.06 0.598
"1135" "Rhyacophilanubila" 102391 50.921 24.478 46 3432.076 615 523 507.583 256.841 29.969 0.109 661.662 5213859 47 0.785 0.412
"1136" "Rhyacophilanubila" 101241 53.395 23.6 46 3544.076 610 519 506.287 254.607 28.887 0.101 653.411 5405746 49 0.897 0.497
"1137" "Rhyacophilanubila" 100797 56.457 22.717 47 3566.804 534 595 507.729 252.77 53.344 0.1 660.17 5690690 52 0.884 0.453
"1138" "Rhyacophilanubila" 71916 60.531 23.495 47 3228.821 452 692 451.87 202.639 61.082 0.087 700.688 4353182 53 0.858 -0.132
"1139" "Rhyacophilanubila" 69888 55.162 24.246 43 2749.084 267 552 516.871 172.159 76.82 0.116 555.99 3855180 49 0.827 0.125
"1140" "Rhyacophilanubila" 68260 61.492 23.202 49 2862.262 388 520 575.66 150.977 122.228 0.105 598.021 4197424 57 0.582 0.047
"1141" "Rhyacophilanubila" 67802 61.547 23.373 53 2982.47 445 514 524.152 164.701 48.996 0.096 582.609 4173012 56 0.667 -0.099
"1142" "Rhyacophilanubila" 66955 46.528 26.325 31 2875.794 505 504 409.655 208.101 54.194 0.102 573.007 3115283 37 1.17 0.476
"1143" "Rhyacophilanubila" 66453 61.108 24.319 51 2969.6 376 579 524.253 161.393 63.452 0.095 599.653 4060833 55 0.592 -0.206
"1144" "Rhyacophilanubila" 65912 51.924 25.065 37 2893.032 484 578 420.249 199.695 125.24 0.099 606.865 3422399 45 0.923 0.321
"1145" "Rhyacophilanubila" 65571 53.135 24.399 35 2917.316 508 476 447.671 186.493 142.194 0.097 578.298 3484088 44 1.207 0.502
"1146" "Rhyacophilanubila" 65261 53.29 23.674 42 2865.517 557 483 407.514 203.902 35.757 0.1 578.395 3477767 45 1.043 0.399
"1147" "Rhyacophilanubila" 64674 55.247 23.433 46 2804.314 451 522 402.177 204.749 66.538 0.103 571.864 3573030 48 1.052 0.365
"1148" "Rhyacophilanubila" 62522 60.566 24.24 46 2637.486 442 498 547.011 145.528 52.92 0.113 610.8 3786719 55 0.595 -0.299
"1149" "Rhyacophilanubila" 60477 65.752 22.767 57 2647.628 453 477 528.508 145.696 51.222 0.108 586.914 3976505 61 0.516 -0.382
"1150" "Rhyacophilanubila" 58126 63.078 21.456 53 2633.444 564 430 479.155 154.456 28.35 0.105 635.02 3666485 58 0.748 0.105
"1151" "Rhyacophilanubila" 57789 54.993 21.789 47 2705.084 581 435 474.364 155.111 147.537 0.099 628.907 3178008 49 1.053 0.823
"1152" "Rhyacophilanubila" 56615 57.918 25.22 43 2520.941 500 345 417.201 172.781 154.831 0.112 524.902 3279008 52 0.736 -0.239
"1153" "Rhyacophilanubila" 56500 66.486 19.373 52 2535.628 618 321 464.205 154.97 13.038 0.11 620.532 3756457 63 0.777 0.338
"1154" "Rhyacophilanubila" 56325 71.531 18.424 65 2560.172 300 618 472.961 151.63 83.714 0.108 631.323 4028961 69 0.361 0.324
